Index,Document name,L0,L1,L2,Department,Subcategory,Target name,Target L0,Target L1,Target L2,Document type,Target type
13,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-143048,Operational,Facility Management,Equipment Calibration,GDE,SOP
14,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,GDE-386735,Operational,Production & Disposition,Manufacturing Controls,GDE,GDE
15,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-591866,Operational,Production & Disposition,Packaging Controls,GDE,SOP
16,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-095325,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
17,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-166867,Operational,Production & Disposition,Packaging Controls,GDE,SOP
18,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-897808,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
19,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-017729,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
20,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-215091,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
21,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-201544,Operational,Facility Management,Equipment Calibration,GDE,SOP
22,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-757151,Lifecycle,Drug & Device Development,Device Design Controls,GDE,SOP
23,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-270040,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
24,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-752892,Lifecycle,Drug & Device Development,Drug Product / Substance Development,GDE,SOP
25,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-354925,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
26,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-575591,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
27,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,STND-463266,Lifecycle,Drug & Device Development,Stability Program Management,GDE,STND
28,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-452225,GxP,Document & Training Management,Personnel & Training Management,GDE,GDE
29,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-795245,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
30,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-829458,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
31,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-371243,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
32,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-572018,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
33,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-672405,Lifecycle,Drug & Device Development,Drug Product / Substance Development,GDE,SOP
34,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-994659,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
35,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-995117,GxP,Deviation & Change Management,Lab OOS/OOT Management,GDE,SOP
36,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-717397,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
37,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-894831,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
38,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-167449,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
39,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-052885,Operational,Qualification & Validation,Electronic Systems Qualification,GDE,SOP
40,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-836807,Lifecycle,Drug & Device Development,Analytical Method Development,GDE,SOP
41,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-303583,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
42,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-321311,Lifecycle,Clinical Programs,Clinical Program Strategy,GDE,GDE
43,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-396890,Lifecycle,Drug & Device Development,Device Design Controls,GDE,GDE
44,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-255395,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
45,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-997648,Operational,Qualification & Validation,Equipment Qualification,GDE,GDE
46,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-389979,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
47,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-849310,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
48,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-943957,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
49,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-027379,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
50,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-164345,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
51,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-648335,Lifecycle,Drug & Device Development,Drug Product / Substance Development,GDE,SOP
52,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-173432,Lifecycle,Drug & Device Development,Device Design Controls,GDE,SOP
53,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-868031,Operational,Facility Management,Facilities Maintenance,GDE,SOP
54,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-923423,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
55,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-994454,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
56,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-376347,Lifecycle,Clinical Programs,Clinical Program Strategy,GDE,GDE
57,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-925420,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
58,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-340059,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
59,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-207300,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
60,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-672601,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
61,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-800561,Lifecycle,Regulatory Management,Regulatory Strategy,GDE,SOP
62,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-206403,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
63,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-467744,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
64,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-067389,Operational,Production & Disposition,Product Disposition,GDE,SOP
65,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,MET-334566,Operational,Production & Disposition,Laboratory Controls,GDE,MET
66,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-993286,Lifecycle,Drug & Device Development,Analytical Method Development,GDE,SOP
67,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-852929,GxP,Deviation & Change Management,Lab OOS/OOT Management,GDE,SOP
68,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-880942,Operational,Warehousing & Distribution,Distribution management,GDE,SOP
69,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-643712,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
70,GDE-465724,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-189485,Lifecycle,Drug & Device Development,Stability Program Management,GDE,SOP
71,GDE-091116,Operational,Production & Disposition,Manufacturing Controls,OPS,GDE,SOP-965316,GxP,Document & Training Management,Personnel & Training Management,GDE,SOP
72,GDE-673424,Lifecycle,Clinical Programs,Informed Consent Form,OPS,GDE,STND-869120,Operational,Qualification & Validation,Equipment Qualification,GDE,STND
73,GDE-673424,Lifecycle,Clinical Programs,Informed Consent Form,OPS,GDE,SOP-280637,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
74,GDE-673424,Lifecycle,Clinical Programs,Informed Consent Form,OPS,GDE,STND-597980,Operational,Facility Management,Equipment Calibration,GDE,STND
75,GDE-673424,Lifecycle,Clinical Programs,Informed Consent Form,OPS,GDE,STND-239956,Operational,Qualification & Validation,Equipment Qualification,GDE,STND
76,GDE-552767,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-213850,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
77,GDE-747816,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
78,GDE-747816,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,GDE-688439,GxP,Deviation & Change Management,CAPA Management,GDE,GDE
79,GDE-747816,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,STND-067536,GxP,Document & Training Management,Document Management,GDE,STND
80,GDE-160909,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
81,GDE-160909,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,GDE-069569,Operational,Supplier Management,Supplier Qualification and Management,GDE,GDE
82,GDE-069569,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,STND-013423,Operational,Supplier Management,Supplier Qualification and Management,GDE,STND
83,GDE-069569,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
84,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-901427,Operational,Production & Disposition,Product Disposition,GDE,SOP
85,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-252368,Operational,Production & Disposition,Product Disposition,GDE,SOP
86,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-811370,Operational,Production & Disposition,Product Disposition,GDE,SOP
87,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-178014,Operational,Production & Disposition,Product Disposition,GDE,SOP
88,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,STND-092197,Operational,Production & Disposition,Product Disposition,GDE,STND
89,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-713223,Operational,Production & Disposition,Product Disposition,GDE,SOP
90,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-528599,Operational,Production & Disposition,Product Disposition,GDE,SOP
91,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-054304,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
92,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-075427,Operational,Production & Disposition,Product Disposition,GDE,SOP
93,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-150673,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
94,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-676497,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
95,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,MET-009633,Operational,Production & Disposition,Product Disposition,GDE,MET
96,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-012518,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
97,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-462983,Operational,Production & Disposition,Product Disposition,GDE,SOP
98,GDE-662974,GxP,Product Quality Management,Product Complaint Handling,OPS,GDE,SOP-830058,Operational,Production & Disposition,Product Disposition,GDE,SOP
99,GDE-688439,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
100,GDE-688439,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,GDE-747816,GxP,Deviation & Change Management,CAPA Management,GDE,GDE
101,GDE-688439,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,STND-067536,GxP,Document & Training Management,Document Management,GDE,STND
102,GDE-013743,Operational,Supplier Management,Incoming Inspection Controls,OPS,GDE,STND-092197,Operational,Production & Disposition,Product Disposition,GDE,STND
103,GDE-013743,Operational,Supplier Management,Incoming Inspection Controls,OPS,GDE,MET-159154,Operational,Production & Disposition,Product Disposition,GDE,MET
104,GDE-013743,Operational,Supplier Management,Incoming Inspection Controls,OPS,GDE,MET-405274,Operational,Production & Disposition,Manufacturing Controls,GDE,MET
105,GDE-013743,Operational,Supplier Management,Incoming Inspection Controls,OPS,GDE,SOP-384603,Operational,Warehousing & Distribution,Distribution management,GDE,SOP
106,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-525094,Operational,Production & Disposition,Packaging Controls,GDE,SOP
107,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-118964,Operational,Facility Management,Equipment Calibration,GDE,SOP
108,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-923806,Operational,Facility Management,Facility & Equipment Lifecycle Management,GDE,SOP
109,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-247893,Lifecycle,Regulatory Management,Labeling,GDE,SOP
110,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,STND-915860,GxP,Document & Training Management,Personnel & Training Management,GDE,STND
111,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-051408,Operational,Facility Management,Equipment Calibration,GDE,SOP
112,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-889830,Operational,Facility Management,Facility & Equipment Lifecycle Management,GDE,SOP
113,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-006697,GxP,Deviation & Change Management,CAPA Management,GDE,SOP
114,GDE-208410,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-390152,Operational,Production & Disposition,Manufacturing Controls,GDE,SOP
115,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-015837,Lifecycle,Drug & Device Development,Device Design Controls,GDE,GDE
116,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-101263,Lifecycle,Drug & Device Development,Device Design Controls,GDE,SOP
117,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-828364,GxP,Deviation & Change Management,Change Control,GDE,GDE
118,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-040353,GxP,Document & Training Management,Personnel & Training Management,GDE,GDE
119,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-449344,GxP,Deviation & Change Management,Change Control,GDE,GDE
120,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-507844,GxP,Deviation & Change Management,Change Control,GDE,GDE
121,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-200012,GxP,Deviation & Change Management,Change Control,GDE,GDE
122,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-763918,Lifecycle,Regulatory Management,Regulatory Submissions,GDE,GDE
123,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,GDE-150291,Lifecycle,Regulatory Management,Regulatory Submissions,GDE,GDE
124,GDE-717039,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-218778,Lifecycle,Regulatory Management,Regulatory Strategy,GDE,SOP
125,GDE-885914,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,GDE-846261,GxP,Deviation & Change Management,CAPA Management,GDE,GDE
126,GDE-741930,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-726677,Operational,Production & Disposition,Packaging Controls,GDE,SOP
127,GDE-741930,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-819284,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
128,GDE-741930,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-321985,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
129,GDE-741930,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-006697,GxP,Deviation & Change Management,CAPA Management,GDE,SOP
130,GDE-741930,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-688950,GxP,Document & Training Management,Personnel & Training Management,GDE,SOP
131,GDE-701230,GxP,Quality Governance,Audits and Inspection Management,OPS,GDE,SOP-663328,GxP,Quality Governance,Audits and Inspection Management,GDE,SOP
132,GDE-701230,GxP,Quality Governance,Audits and Inspection Management,OPS,GDE,SOP-432935,GxP,Quality Governance,Audits and Inspection Management,GDE,SOP
133,GDE-148711,Lifecycle,Regulatory Management,Labeling,OPS,GDE,GDE-744891,GxP,Document & Training Management,Document Management,GDE,GDE
134,GDE-148711,Lifecycle,Regulatory Management,Labeling,OPS,GDE,SOP-168337,Lifecycle,Regulatory Management,Labeling,GDE,SOP
135,GDE-148711,Lifecycle,Regulatory Management,Labeling,OPS,GDE,SOP-993169,Lifecycle,Regulatory Management,Labeling,GDE,SOP
136,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,SOP-527833,Lifecycle,Drug & Device Development,Device Master Record / Design History File,GDE,SOP
137,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,SOP-953110,GxP,Document & Training Management,Document Management,GDE,SOP
138,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,GDE-206403,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
139,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,SOP-467744,Operational,Production & Disposition,Laboratory Controls,GDE,SOP
140,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,SOP-648335,Lifecycle,Drug & Device Development,Drug Product / Substance Development,GDE,SOP
141,GDE-362730,GxP,Document & Training Management,Document Management,OPS,GDE,SOP-057682,Operational,Qualification & Validation,Process Qualification,GDE,SOP
142,GDE-487522,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-481259,GxP,Deviation & Change Management,Change Control,GDE,SOP
143,GDE-487522,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-627745,GxP,Deviation & Change Management,CAPA Management,GDE,SOP
144,GDE-487522,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-624201,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
145,GDE-487522,GxP,Deviation & Change Management,Change Control,OPS,GDE,SOP-492474,GxP,Document & Training Management,Personnel & Training Management,GDE,SOP
146,GDE-015837,Lifecycle,Drug & Device Development,Device Design Controls,OPS,GDE,GDE-717039,GxP,Deviation & Change Management,Change Control,GDE,GDE
147,GDE-015837,Lifecycle,Drug & Device Development,Device Design Controls,OPS,GDE,SOP-101263,Lifecycle,Drug & Device Development,Device Design Controls,GDE,SOP
148,GDE-015837,Lifecycle,Drug & Device Development,Device Design Controls,OPS,GDE,GDE-534067,GxP,Deviation & Change Management,Change Control,GDE,GDE
149,GDE-015837,Lifecycle,Drug & Device Development,Device Design Controls,OPS,GDE,SOP-218778,Lifecycle,Regulatory Management,Regulatory Strategy,GDE,SOP
150,GDE-879931,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,STND-013423,Operational,Supplier Management,Supplier Qualification and Management,GDE,STND
151,GDE-879931,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
152,GDE-879931,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,GDE-521726,Operational,Supplier Management,Supplier Qualification and Management,GDE,GDE
153,GDE-521726,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,GDE-879931,Operational,Supplier Management,Supplier Qualification and Management,GDE,GDE
154,GDE-521726,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,STND-013423,Operational,Supplier Management,Supplier Qualification and Management,GDE,STND
155,GDE-521726,Operational,Supplier Management,Supplier Qualification and Management,OPS,GDE,POL-189323,Operational,Supplier Management,Supplier Qualification and Management,GDE,POL
156,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,GDE-618285,Operational,Qualification & Validation,Equipment Qualification,GDE,GDE
157,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,STND-294283,GxP,Document & Training Management,Personnel & Training Management,GDE,STND
158,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,GDE-466110,Operational,Supplier Management,Supplier Qualification and Management,GDE,GDE
159,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-941751,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
160,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-965316,GxP,Document & Training Management,Personnel & Training Management,GDE,SOP
161,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-668798,Operational,Production & Disposition,Product Disposition,GDE,SOP
162,GDE-993460,GxP,Document & Training Management,Personnel & Training Management,OPS,GDE,SOP-844306,Operational,Supplier Management,Supplier Qualification and Management,GDE,SOP
163,GDE-285008,Operational,Facility Management,Facility & Equipment Lifecycle Management,OPS,GDE,SOP-175166,GxP,Document & Training Management,Document Management,GDE,SOP
164,GDE-627403,Operational,Warehousing & Distribution,Distribution management,OPS,GDE,SOP-953110,GxP,Document & Training Management,Document Management,GDE,SOP
165,GDE-627403,Operational,Warehousing & Distribution,Distribution management,OPS,GDE,SOP-148183,GxP,Quality Governance,Management Reviews,GDE,SOP
166,GDE-627403,Operational,Warehousing & Distribution,Distribution management,OPS,GDE,SOP-343462,Operational,Warehousing & Distribution,Distribution management,GDE,SOP
167,GDE-627403,Operational,Warehousing & Distribution,Distribution management,OPS,GDE,SOP-810546,Operational,Warehousing & Distribution,Distribution management,GDE,SOP
168,GDE-627403,Operational,Warehousing & Distribution,Distribution management,OPS,GDE,SOP-738226,GxP,Quality Governance,Management Reviews,GDE,SOP
169,GDE-088522,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-345460,Operational,Production & Disposition,Product Disposition,GDE,SOP
170,GDE-088522,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-888851,IT Supporting Business Functions,Manufacturing,Equipment,GDE,SOP
171,GDE-846261,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,SOP-177667,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
172,GDE-846261,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,GDE-736972,Operational,Warehousing & Distribution,Installation and Service,GDE,GDE
173,GDE-608775,GxP,Deviation & Change Management,CAPA Management,OPS,GDE,GDE-301603,Lifecycle,Regulatory Management,Labeling,GDE,GDE
174,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-866056,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
175,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-719274,GxP,Deviation & Change Management,Management Notification,GDE,SOP
176,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,GDE-530783,Operational,Production & Disposition,Packaging Controls,GDE,GDE
177,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-419692,Operational,Production & Disposition,Product Disposition,GDE,SOP
178,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-510312,Operational,Facility Management,Facilities Maintenance,GDE,SOP
179,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-378557,Operational,Facility Management,Equipment Calibration,GDE,SOP
180,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-139458,Operational,Qualification & Validation,Equipment Qualification,GDE,SOP
181,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-523968,Operational,Production & Disposition,Packaging Controls,GDE,SOP
182,GDE-594863,Operational,Production & Disposition,Product Disposition,OPS,GDE,SOP-669073,GxP,Document & Training Management,Records Management,GDE,SOP
